Sexo,codigo,Provincia,A̱o,Trimestre,Paro
Ambos sexos,0,Total Nacional,2002,1,11.55
Ambos sexos,0,Total Nacional,2002,2,11.15
Ambos sexos,0,Total Nacional,2002,3,11.49
Ambos sexos,0,Total Nacional,2002,4,11.61
Ambos sexos,0,Total Nacional,2003,1,11.99
Ambos sexos,0,Total Nacional,2003,2,11.28
Ambos sexos,0,Total Nacional,2003,3,11.3
Ambos sexos,0,Total Nacional,2003,4,11.37
Ambos sexos,0,Total Nacional,2004,1,11.5
Ambos sexos,0,Total Nacional,2004,2,11.09
Ambos sexos,0,Total Nacional,2004,3,10.74
Ambos sexos,0,Total Nacional,2004,4,10.53
Ambos sexos,0,Total Nacional,2005,1,10.17
Ambos sexos,0,Total Nacional,2005,2,9.32
Ambos sexos,0,Total Nacional,2005,3,8.41
Ambos sexos,0,Total Nacional,2005,4,8.71
Ambos sexos,0,Total Nacional,2006,1,9.03
Ambos sexos,0,Total Nacional,2006,2,8.44
Ambos sexos,0,Total Nacional,2006,3,8.08
Ambos sexos,0,Total Nacional,2006,4,8.26
Ambos sexos,0,Total Nacional,2007,1,8.42
Ambos sexos,0,Total Nacional,2007,2,7.93
Ambos sexos,0,Total Nacional,2007,3,8.01
Ambos sexos,0,Total Nacional,2007,4,8.57
Ambos sexos,0,Total Nacional,2008,1,9.6
Ambos sexos,0,Total Nacional,2008,2,10.36
Ambos sexos,0,Total Nacional,2008,3,11.23
Ambos sexos,0,Total Nacional,2008,4,13.79
Ambos sexos,0,Total Nacional,2009,1,17.24
Ambos sexos,0,Total Nacional,2009,2,17.77
Ambos sexos,0,Total Nacional,2009,3,17.75
Ambos sexos,0,Total Nacional,2009,4,18.66
Ambos sexos,0,Total Nacional,2010,1,19.84
Ambos sexos,0,Total Nacional,2010,2,19.89
Ambos sexos,0,Total Nacional,2010,3,19.59
Ambos sexos,0,Total Nacional,2010,4,20.11
Ambos sexos,0,Total Nacional,2011,1,21.08
Ambos sexos,0,Total Nacional,2011,2,20.64
Ambos sexos,0,Total Nacional,2011,3,21.28
Ambos sexos,0,Total Nacional,2011,4,22.56
Ambos sexos,0,Total Nacional,2012,1,24.19
Ambos sexos,0,Total Nacional,2012,2,24.4
Ambos sexos,0,Total Nacional,2012,3,24.79
Ambos sexos,0,Total Nacional,2012,4,25.77
Ambos sexos,0,Total Nacional,2013,1,26.94
Ambos sexos,0,Total Nacional,2013,2,26.06
Ambos sexos,0,Total Nacional,2013,3,25.65
Ambos sexos,0,Total Nacional,2013,4,25.73
Ambos sexos,0,Total Nacional,2014,1,25.93
Ambos sexos,0,Total Nacional,2014,2,24.47
Ambos sexos,0,Total Nacional,2014,3,23.67
Ambos sexos,0,Total Nacional,2014,4,23.7
Ambos sexos,0,Total Nacional,2015,1,23.78
Ambos sexos,0,Total Nacional,2015,2,22.37
Ambos sexos,0,Total Nacional,2015,3,21.18
Ambos sexos,0,Total Nacional,2015,4,20.9
Ambos sexos,0,Total Nacional,2016,1,21
